Gene,Status,Expressed_Allele
Zdbf2,Imprinted,Paternal
Adam23,Imprinted,Paternal
Mcts2,Imprinted,Paternal
Mir296,Imprinted,Paternal
Mir298,Imprinted,Paternal
Sfmbt2,Imprinted,Paternal
Wt1,TissueĀDependent,Maternal
Gatm,Imprinted,Maternal
H13,Imprinted,Maternal
Blcap,Imprinted - Isoform Dependent,Maternal
Nnat,Imprinted,Paternal
Zfp64,Imprinted,Paternal
Gnas,Imprinted - Isoform Dependent,Maternal
Nespas,Imprinted,Paternal
Jade1,Imprinted,Paternal
Ngfb,Predicted,Paternal
Gnai3,Predicted,Maternal
Magi2,Imprinted,Paternal
Fkbp6,Imprinted,Paternal
Peg10,Imprinted,Paternal
Pon3,Imprinted,Maternal
Ppp1r9a,Imprinted,Maternal
Tfpi2,Imprinted,Maternal
Sgce,Imprinted,Paternal
Asb4,Imprinted,Maternal
Calcr,Imprinted,Maternal
Mest,Imprinted,Paternal
Mir335,Imprinted,Maternal
Aqp1,Imprinted,Maternal
Pon2,Imprinted,Maternal
Copg2,Imprinted,Maternal
Klf14,Imprinted,Maternal
Nap1l5,Imprinted,Paternal
Ano1,Imprinted,Maternal
Nlrp2,Imprinted,Maternal
AF313042,Imprinted,Maternal
Peg3os,Imprinted,Paternal
Usp29,Imprinted,Paternal
Peg3,Imprinted,Paternal
Zim1,Imprinted,Maternal
Zfp264,Imprinted,Paternal
Zim3,Imprinted,Maternal
Axl,Imprinted,Maternal
Peg12,Imprinted,Paternal
Magel2,Imprinted,Paternal
Ndn,Imprinted,Paternal
Ube3a,Imprinted,Maternal
Mkrn3,Imprinted,Paternal
Snrpn,Imprinted,Paternal
Pwcr1,Imprinted,Paternal
Zfp127as,Imprinted,Maternal
Ampd3,Imprinted,Maternal
H19,Imprinted,Maternal
Igf2as,Imprinted,Paternal
Ins2,Imprinted,Paternal
Kcnq1,Imprinted,Maternal
Ascl2,Imprinted,Maternal
Tssc4,Imprinted,Maternal
Cd81,Imprinted,Maternal
Kcnq1ot1,Imprinted,Paternal
Phlda2,Imprinted,Maternal
Slc22a18,Imprinted,Maternal
Cdkn1c,Imprinted,Maternal
Nap1l4,Imprinted,Maternal
Tnfrsf23,Imprinted,Maternal
Tnfrsf22,Imprinted,Maternal
Tnfrsf26,Imprinted,Maternal
Inpp5f,Imprinted,Paternal
Nctc1,Imprinted,Paternal
Mir675,Imprinted,Maternal
Igf2,Imprinted,Paternal
Th,Imprinted,Maternal
Dhcr7,Imprinted,Maternal
Zim2,Imprinted,Maternal
Snurf,Imprinted,Paternal
Gab1,Imprinted,Paternal
Sall1,Imprinted,Paternal
Cdh15,Imprinted,Paternal
Snx14,Imprinted,Paternal
Mir184,Imprinted,Paternal
Rasgrf1,Imprinted,Paternal
Hymai,Imprinted,Paternal
Plagl1,Imprinted,Paternal
Dcn,Imprinted,Maternal
Platr20,Imprinted,Paternal
Ddc,Imprinted,Paternal
Grb10,Imprinted - Isoform Dependent,Maternal
Commd1,Imprinted,Maternal
U2af1-rs1,Imprinted,Paternal
Ccdc40,Imprinted,Paternal
Mir337,Imprinted,Maternal
Mir410,Imprinted,Maternal
Smoc1,Imprinted,Paternal
Mir380,Imprinted,Maternal
AF357355,Imprinted,Maternal
AF357359,Imprinted,Maternal
Mir127,Imprinted,Maternal
Mir136,Imprinted,Maternal
B830012L14Rik,Imprinted,Maternal
Mir411,Imprinted,Maternal
Mir376b,Imprinted,Maternal
Mir431,Imprinted,Maternal
Dlk1,Imprinted,Paternal
Meg3,Imprinted,Maternal
AF357341,Imprinted,Maternal
AF357425,Imprinted,Maternal
AF357426,Imprinted,Maternal
AF357428,Imprinted,Maternal
Rian,Imprinted,Maternal
Mir370,Imprinted,Maternal
Dio3,Imprinted,Paternal
Mirg,Imprinted,Maternal
Rtl1,Imprinted,Paternal
Begain,Imprinted - Isoform Dependent,Paternal
Htr2a,Imprinted,Maternal
Trappc9,Imprinted,Maternal
Chrac1,Imprinted,Maternal
Galnt6,Imprinted,Paternal
Peg13,Imprinted,Paternal
Slc38a4,Imprinted,Paternal
Kcnk9,Imprinted,Maternal
Qpct,Imprinted,Maternal
Pde10a,Imprinted,Maternal
Dact2,Imprinted,Maternal
Prkn,Imprinted,Maternal
Slc22a3,Imprinted,Maternal
Slc22a2,Imprinted,Maternal
Igf2r,TissueĀDependent,Maternal
Air,Imprinted,Paternal
Thbs2,Imprinted,Maternal
Smoc2,Imprinted,Maternal
Impact,Imprinted,Paternal
Fthl17b,Imprinted,Paternal
Fthl17c,Imprinted,Paternal
Fthl17d,Imprinted,Paternal
Gm35612,Imprinted,Maternal
Fthl17e,Imprinted,Paternal
Fthl17f,Imprinted,Paternal
Rhox5,Imprinted,Maternal
Fthl17a,Imprinted,Paternal
Xlr3b,Imprinted,Maternal
Tsix,Imprinted,Maternal
Jpx,Imprinted,Paternal
Ftx,Imprinted,Paternal
Zcchc13,Imprinted,Maternal
Maged2,Imprinted,Maternal
Xist,Imprinted,Paternal
